image_name,species,mean_wing_intensity,mean_wingtip_intensity,std_wingtip_intensity,percentage_darker,mean_darker_wingtip_intensity,std_darker_wingtip_intensity,wing_pixel_count,wingtip_pixel_count,darker_wingtip_pixels,diff_gt_25,pct_diff_gt_25,diff_gt_50,pct_diff_gt_50,diff_gt_75,pct_diff_gt_75,diff_gt_100,pct_diff_gt_100,dark_lt_30,pct_dark_lt_30,dark_lt_50,pct_dark_lt_50,dark_lt_75,pct_dark_lt_75,dark_lt_100,pct_dark_lt_100,intensity_0_25,pct_0_25,intensity_25_50,pct_25_50,intensity_50_75,pct_50_75,intensity_75_100,pct_75_100,intensity_100_125,pct_100_125,intensity_125_150,pct_125_150,intensity_150_175,pct_150_175,intensity_175_200,pct_175_200,intensity_200_225,pct_200_225,intensity_225_255,pct_225_255
001.png,Slaty_Backed_Gull,98.41016355140188,121.82919621749409,63.463628745806936,39.83451536643026,50.446587537091986,23.86940784326941,8560,1692,674,560,33.09692671394799,295,17.43498817966903,97,5.732860520094563,0,0.0,110,6.501182033096926,306,18.085106382978726,565,33.39243498817967,674,39.83451536643026,100,5.91016548463357,206,12.174940898345152,259,15.307328605200945,109,6.442080378250591,139,8.215130023640661,53,3.1323877068557917,158,9.33806146572104,620,36.64302600472813,41,2.4231678486997636,7,0.41371158392434987
002.png,Slaty_Backed_Gull,189.6483076923077,130.91689250225835,29.44824366924859,96.70280036133695,128.54180289584306,26.885380498683695,9750,2214,2141,1992,89.97289972899729,1196,54.01987353206865,647,29.22312556458898,160,7.226738934056007,3,0.13550135501355012,9,0.40650406504065045,55,2.4841915085817527,311,14.046973803071364,0,0.0,9,0.40650406504065045,46,2.077687443541102,256,11.562782294489612,688,31.07497741644083,682,30.80397470641373,376,16.982836495031616,127,5.736224028906955,28,1.2646793134598013,2,0.09033423667570009
003.png,Slaty_Backed_Gull,202.95453925814175,130.6320510823859,28.906641245506897,99.95950786481856,130.60105322198677,28.871386162394202,440138,32105,32092,28650,89.23843638062607,25124,78.25572340756891,15570,48.49711882884286,3766,11.73026008409905,69,0.21491979442454448,233,0.7257436536365052,887,2.7628095312256655,3131,9.752375019467372,50,0.1557389814670612,183,0.570004672169444,654,2.0370658775891606,2244,6.989565488241707,10356,32.25665784145772,11446,35.651767637439654,3087,9.615324715776358,4056,12.633546176608004,29,0.0903286092508955,0,0.0
004.png,Slaty_Backed_Gull,129.5195570127086,123.38841496013575,43.19599082923118,58.841031124334634,96.64328039819863,31.875148280461186,1392365,43021,25314,10355,24.069640408172752,6103,14.186095162827456,4022,9.348922619185979,1561,3.628460519281281,1561,3.628460519281281,3613,8.398224123102672,5538,12.872783059436088,9080,21.10597150228958,873,2.029241533204714,2740,6.368982589897956,1925,4.474558936333419,3542,8.23318844285349,15215,35.366448943539204,7840,18.22365821343065,6376,14.820668975616561,3085,7.1709165291369334,801,1.8618814067548406,624,1.4504544292322354
006.png,Slaty_Backed_Gull,95.61106815420302,127.17707607355385,28.52894716870791,12.83439661180507,76.97911445279867,15.491299141469476,466970,18653,2394,622,3.3345842491824373,107,0.5736342679461749,22,0.11794349434407334,0,0.0,34,0.1822763094408406,158,0.8470487321074358,815,4.369270358655444,2960,15.868761057202596,27,0.14474883396772636,131,0.7022998981397095,657,3.522221626548008,2145,11.49949069854715,5637,30.220339891706427,5483,29.394735431297914,4215,22.596901302739507,299,1.6029593094944512,59,0.31630300755910573,0,0.0
008.png,Slaty_Backed_Gull,171.08587890982258,120.2363791401131,25.326873626222607,96.50988840020345,117.89645497806643,22.411113302587243,3560998,66846,64513,58592,87.65221554019686,31696,47.416449750172035,8757,13.100260299793556,3184,4.763187026897645,9,0.013463782425276008,719,1.0756066181970498,3635,5.437872123986477,10059,15.048020823983485,1,0.0014959758250306673,718,1.0741106423720193,2916,4.362265505789426,6424,9.610148699997008,31576,47.23693265116836,17907,26.788439098824163,5427,8.118660802441433,1583,2.3681297310235467,265,0.3964335936331269,29,0.04338329892588936
011.png,Slaty_Backed_Gull,173.93849046467903,91.45654854887775,36.88219253842577,97.64038477349338,89.13135735938026,34.086099306381485,589865,12163,11876,11293,92.84715941790677,10596,87.11666529639069,6930,56.97607498150128,4015,33.0099482035682,262,2.1540738304694567,1899,15.612924442982818,4125,33.91433034613171,7029,57.79001890980844,118,0.970155389295404,1781,14.642769053687413,2226,18.301405903148893,2904,23.875688563676725,3585,29.474636191729015,706,5.8044890240894516,570,4.686343829647291,240,1.9731974019567542,33,0.27131464276905365,0,0.0
012.png,Slaty_Backed_Gull,209.68054414784396,117.12577408351822,31.344892914477708,99.92383349339339,117.05179956253728,31.241956630292464,787131,30197,30174,29879,98.94691525648244,27707,91.75414776302281,23516,77.87528562439977,9313,30.84081200119217,148,0.4901149120773587,894,2.9605589959267475,3478,11.517700433817929,6776,22.43931516375799,117,0.38745570752061465,777,2.5731032884061333,2584,8.557141437891183,3298,10.92161472994006,11115,36.80829221445839,7737,25.621750505017054,3770,12.484683908997582,746,2.470444083849389,53,0.17551412391959467,0,0.0
016.png,Slaty_Backed_Gull,124.15686438610328,102.0587996961256,38.751565196697044,70.02279057989365,85.93664111095039,33.748144478208864,704972,19745,13826,7069,35.80146872625981,4895,24.79108635097493,2872,14.545454545454545,551,2.7905798936439608,929,4.704988604710053,2872,14.545454545454545,4895,24.79108635097493,7069,35.80146872625981,551,2.7905798936439608,2321,11.754874651810585,2023,10.245631805520384,2174,11.010382375284882,6757,34.22132185363383,4685,23.727525955938212,900,4.558115978728792,236,1.195239301088883,70,0.35452013167890606,28,0.1418080526715624
020.png,Slaty_Backed_Gull,172.83977402980187,140.42096656976744,39.692975085760025,80.6686046511628,130.00427927927927,37.03611859775357,93181,5504,4440,2290,41.60610465116279,1519,27.598110465116278,913,16.58793604651163,486,8.829941860465116,64,1.1627906976744187,117,2.1257267441860463,520,9.44767441860465,954,17.3328488372093,49,0.8902616279069767,68,1.2354651162790697,403,7.321947674418605,434,7.8851744186046515,632,11.482558139534884,851,15.461482558139537,2116,38.44476744186046,882,16.024709302325583,68,1.2354651162790697,1,0.018168604651162792
025.png,Slaty_Backed_Gull,169.47596048298573,129.9464227905471,31.914299964711184,90.87083198446099,125.39597434983969,29.877721792890505,774276,24712,22456,18647,75.45726772418259,5300,21.44707024927161,3259,13.187924894787958,1901,7.692618970540628,25,0.10116542570411137,954,3.8604726448688895,2196,8.886370993849143,3456,13.985108449336355,0,0.0,954,3.8604726448688895,1242,5.0258983489802525,1260,5.098737455487213,3364,13.612819682745226,12372,50.06474587245064,4266,17.262868242149562,1254,5.074457753318226,0,0.0,0,0.0
027.png,Slaty_Backed_Gull,163.43029844189968,132.94677968056277,38.816457856746915,70.70287724153837,113.43630729081715,28.17091067836444,493999,17343,12262,10087,58.16179438390129,5262,30.34077149282131,2562,14.772530704030446,839,4.837686674739087,1,0.00576601510695958,34,0.19604451363662573,1558,8.983451536643026,3631,20.936400853370234,0,0.0,34,0.19604451363662573,1524,8.7874070230064,2073,11.95294931672721,3562,20.538545810990026,3786,21.83013319494897,2836,16.352418843337368,3337,19.241192411924118,178,1.0263506890388054,13,0.07495819639047455
