image_name,species,mean_intensity,std_intensity,median_intensity,min_intensity,max_intensity,skewness,kurtosis,pixel_count
001.png,Slaty_Backed_Gull,63.93853953571111,22.019830741988546,62.0,11,254,1.0740505957849646,3.5502515158422767,11243
002.png,Slaty_Backed_Gull,160.31674208144796,14.687872020426994,157.0,109,248,1.2412347102794525,3.9594978385361754,3757
003.png,Slaty_Backed_Gull,49.83176045350783,14.855689793787835,47.0,7,213,2.251412048983236,11.612051849543699,617233
004.png,Slaty_Backed_Gull,55.833502326522755,36.502642481149365,40.0,5,231,0.6064275319592967,-0.8256149799813439,1002999
006.png,Slaty_Backed_Gull,77.14272638539907,21.239179092089696,76.0,22,216,0.810414551158414,2.793111172781324,510214
008.png,Slaty_Backed_Gull,110.33479169033656,13.838936288290034,108.0,36,240,2.142268233974516,10.505981403137413,572105
011.png,Slaty_Backed_Gull,74.3200495806905,18.521576599859205,74.0,23,212,1.5081096669457643,5.215745889490703,385634
016.png,Slaty_Backed_Gull,54.95374541294937,29.250257387866228,46.0,14,232,1.2604770059895953,1.0845735641949723,479066
020.png,Slaty_Backed_Gull,98.7212948629973,18.229553782039442,101.0,43,222,0.029517106606567995,1.5653212560085432,125326
025.png,Slaty_Backed_Gull,39.70594470597189,16.6150177038576,34.0,14,181,2.3335660673218728,7.283091972758141,551886
027.png,Slaty_Backed_Gull,66.8153349395326,16.100862595516144,64.0,33,233,2.0347402176824487,7.855030332069845,383099
028.png,Slaty_Backed_Gull,58.03560694489086,24.084032604267883,51.0,8,251,1.8947387438223406,5.715027926194807,354678
040.png,Slaty_Backed_Gull,81.12430566923119,20.766977049895587,79.0,28,243,1.449731015294261,4.223965867238876,733080
041.png,Slaty_Backed_Gull,58.62670377576907,21.0556492936532,52.0,17,239,1.6554725356409106,3.4612068994339706,406010
042.png,Slaty_Backed_Gull,64.07257662759905,23.644401061299604,60.0,19,238,0.9102762267575406,1.0825173032726196,533946
043.png,Slaty_Backed_Gull,65.86929012143521,17.458627066127963,65.0,18,210,1.3696381857944557,5.414327615336129,534359
045.png,Slaty_Backed_Gull,58.28219092063764,13.379119587915755,56.0,5,234,4.031926584129094,30.196115811402983,350355
