image_name,species,percentage_darker,darker_pixel_count,total_wingtip_pixels
3O4A3191.png,Slaty_Backed_Gull,61.31156297196744,133154,217176
3O4A3226.png,Slaty_Backed_Gull,59.0084203785276,136372,231106
3O4A4169 2.png,Slaty_Backed_Gull,35.90228106490685,87589,243965
3O4A4970.png,Slaty_Backed_Gull,64.21137733352933,87366,136060
3O4A5274 2.png,Slaty_Backed_Gull,86.13434837725652,257515,298969
3O4A6909.png,Slaty_Backed_Gull,59.22173663532424,80493,135918
3O4A7515 2.png,Slaty_Backed_Gull,76.58324351323641,174789,228234
3O4A8271.png,Slaty_Backed_Gull,78.85336859353549,124638,158063
3O4A8300.png,Slaty_Backed_Gull,28.115206685569316,75360,268040
3O4A8505.png,Slaty_Backed_Gull,56.37929298860796,134415,238412
3O4A8923.png,Slaty_Backed_Gull,76.5369135156336,618592,808227
480 (14).png,Slaty_Backed_Gull,22.723509933774835,549,2416
480 (40).png,Slaty_Backed_Gull,41.78486055776893,2622,6275
480 (41).jpeg,Slaty_Backed_Gull,37.55261575466025,1249,3326
4D2A0606.png,Slaty_Backed_Gull,33.46661690746566,112992,337626
4D2A1343.png,Slaty_Backed_Gull,48.86471277842907,52102,106625
4D2A1398.png,Slaty_Backed_Gull,68.8384551344699,95090,138135
4D2A1460 2.png,Slaty_Backed_Gull,50.90054283947849,74920,147189
4D2A1749.png,Slaty_Backed_Gull,56.69759665881505,91227,160901
4D2A5969 - Version 2.png,Slaty_Backed_Gull,47.639709394404086,94753,198895
4D2A6625.png,Slaty_Backed_Gull,73.73445873335564,207213,281026
4D2A6730.png,Slaty_Backed_Gull,58.992924420985574,207438,351632
4D2A6769.png,Slaty_Backed_Gull,59.83698879809957,146095,244155
4D2A7037.png,Slaty_Backed_Gull,70.48338910825738,243475,345436
4D2A7085 2.png,Slaty_Backed_Gull,74.58429096601023,270647,362874
4D2A7188.png,Slaty_Backed_Gull,72.35141513119852,185182,255948
4D2A7246 2.png,Slaty_Backed_Gull,42.56883797179429,155541,365387
4D2A7264.png,Slaty_Backed_Gull,65.43083792513775,192843,294728
4D2A7433.png,Slaty_Backed_Gull,70.1768561264233,178918,254953
4D2A9502.png,Slaty_Backed_Gull,62.28161574062856,205624,330152
4D2A9772 2.png,Slaty_Backed_Gull,57.56110796526991,243967,423840
4D2A9775.png,Slaty_Backed_Gull,61.001570749773094,217093,355881
4D2A9946.png,Slaty_Backed_Gull,26.98892387932536,57335,212439
