species,image_name,region,lbp_histogram,ones_histogram,transitions_histogram,mean_intensity,std_intensity
Slaty_Backed_Gull,001.png,wing,"[0.07062172 0.0454505  0.03130837 0.01921195 0.01058436 0.00871653
 0.00560349 0.00498088 0.00506982 0.00409143 0.0054256  0.00738237
 0.0130748  0.00916126 0.00613715 0.00506982 0.00444721 0.00720448
 0.0062261  0.00675976 0.01218536 0.0138753  0.02383705 0.04064751
 0.06217202 0.57075514]","[0.07062172 0.09686027 0.14391177 0.64288891 0.04571734 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[0.07062172 0.         0.21311038 0.         0.7023926  0.
 0.0138753  0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",63.93853953571111,22.019830741988546
Slaty_Backed_Gull,001.png,wingtip,"[0.06651615 0.03699201 0.02049323 0.01493574 0.01528308 0.01788816
 0.01267801 0.01389371 0.0109413  0.01180966 0.01510941 0.02344564
 0.0291768  0.02031956 0.01059396 0.01285168 0.00816256 0.00937826
 0.00885724 0.01319903 0.00885724 0.01146231 0.01997221 0.03143453
 0.05418548 0.50156304]","[0.06651615 0.09187218 0.182876   0.61444946 0.04428621 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[0.06651615 0.         0.24018757 0.         0.68183397 0.
 0.01146231 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",44.3829454671761,53.99064441946319
Slaty_Backed_Gull,001.png,head,"[0.03936039 0.02337023 0.01783518 0.01722017 0.00922509 0.01414514
 0.01845018 0.01845018 0.02521525 0.04243542 0.05104551 0.08917589
 0.12853629 0.09840098 0.06334563 0.03690037 0.0202952  0.01107011
 0.01414514 0.00922509 0.01353014 0.00738007 0.00492005 0.00307503
 0.00430504 0.21894219]","[0.03936039 0.09594096 0.31488315 0.5098401  0.0399754  0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[0.03936039 0.         0.38314883 0.         0.5701107  0.
 0.00738007 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",188.0479704797048,56.43335366687106
Slaty_Backed_Gull,002.png,wing,"[0.0678733  0.05350013 0.03273889 0.02022891 0.01623636 0.00931594
 0.01011445 0.01304232 0.01250998 0.01117913 0.01650253 0.01836572
 0.01809955 0.01171147 0.01277615 0.00585574 0.00798509 0.00692042
 0.00825126 0.00798509 0.00771892 0.01703487 0.02848017 0.03034336
 0.04019164 0.51503859]","[0.0678733  0.12297046 0.14852276 0.62443439 0.0361991  0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[0.0678733  0.         0.24327921 0.         0.67181262 0.
 0.01703487 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",159.3263241948363,14.663630946704776
Slaty_Backed_Gull,002.png,wingtip,"[0.06536744 0.03532278 0.04384896 0.02882663 0.01421031 0.01867641
 0.0138043  0.0138043  0.01542834 0.0182704  0.0272026  0.02882663
 0.0316687  0.01786439 0.01542834 0.00933821 0.01299229 0.01177426
 0.01705238 0.01542834 0.01258628 0.01218027 0.01908242 0.0227365
 0.04709704 0.43118149]","[0.06536744 0.12180268 0.22695899 0.55379618 0.03207471 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[0.06536744 0.         0.2817702  0.         0.6406821  0.
 0.01218027 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",150.17052375152252,39.076262299303224
Slaty_Backed_Gull,002.png,head,"[0.09885536 0.04058273 0.03850156 0.03537981 0.01560874 0.01040583
 0.01144641 0.00832466 0.01352758 0.01456816 0.01456816 0.02289282
 0.01977107 0.01352758 0.01248699 0.01977107 0.01456816 0.00936524
 0.01768991 0.01352758 0.01768991 0.01144641 0.02289282 0.01352758
 0.02913632 0.45993757]","[0.09885536 0.12278876 0.18002081 0.56503642 0.03329865 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[0.09885536 0.         0.2591051  0.         0.63059313 0.
 0.01144641 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",178.99375650364203,33.333273782206945
Slaty_Backed_Gull,003.png,wing,"[0.0394697  0.02018687 0.01635525 0.01571854 0.01355404 0.01419237
 0.01394287 0.01691582 0.02001027 0.02504727 0.03078578 0.04005457
 0.04112871 0.0387212  0.03152294 0.02582331 0.02068425 0.01897663
 0.01491495 0.01566021 0.01717018 0.02111682 0.02295243 0.01735325
 0.05915108 0.38859069]","[0.0394697  0.09079067 0.25102838 0.57553468 0.04317656 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[0.0394697  0.         0.29499395 0.         0.64441953 0.
 0.02111682 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",51.745149724658276,13.34803938496772
Slaty_Backed_Gull,003.png,wingtip,"[0.0298673  0.01867675 0.01165907 0.0093704  0.00837269 0.00869627
 0.00822775 0.01100179 0.01564991 0.02154854 0.03149532 0.05884137
 0.06809043 0.05543028 0.03570863 0.02496975 0.01816104 0.0159263
 0.01146357 0.01231971 0.01589934 0.02002164 0.02596746 0.01657347
 0.07309247 0.37296876]","[0.0298673  0.07251946 0.26381038 0.59225965 0.04154322 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[0.0298673  0.         0.30298066 0.         0.6471304  0.
 0.02002164 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",45.539849466932274,44.43586024897359
Slaty_Backed_Gull,003.png,head,"[0.03165324 0.01297947 0.01251231 0.01421681 0.01450721 0.01632535
 0.01782783 0.02127472 0.02854726 0.03549153 0.04912755 0.06964471
 0.07917729 0.07546527 0.05576879 0.04121108 0.03313048 0.02600944
 0.01962072 0.0183455  0.01590869 0.01412843 0.0123608  0.00948208
 0.02762557 0.24765789]","[0.03165324 0.10167673 0.30133077 0.51464609 0.05069316 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[0.03165324 0.         0.35877882 0.         0.59543951 0.
 0.01412843 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",110.84149390166915,43.130530040573205
Slaty_Backed_Gull,004.png,wing,"[0.04395119 0.02277171 0.01738885 0.01518446 0.0125723  0.01213461
 0.01080958 0.01262713 0.01486442 0.01808476 0.02344569 0.03296913
 0.03606883 0.031678   0.02455137 0.0196072  0.0159731  0.01553441
 0.01309373 0.01478067 0.01846163 0.02361418 0.02819444 0.02010072
 0.07558133 0.42595656]","[0.04395119 0.08357037 0.23839904 0.59437148 0.03970792 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[0.04395119 0.         0.27800028 0.         0.65443435 0.
 0.02361418 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",58.996725819268015,35.80290598352419
