Property,Slaty_Backed_Gull,Glaucous_Winged_Gull
uniformity,0.2929,0.3477
entropy,3.5858,3.3228
contrast,0.3025,0.3608
energy,0.5412,0.5897
smoothness,0.9803,0.9806
