Property,Slaty_Backed_Gull,Glaucous_Winged_Gull
uniformity,0.2754,0.2909
entropy,3.6369,3.4842
contrast,0.2825,0.2980
energy,0.5248,0.5394
smoothness,0.9799,0.9802
