Property,Slaty_Backed_Gull,Glaucous_Winged_Gull
uniformity,0.4024,0.5330
entropy,3.0453,2.3363
contrast,0.4189,0.5564
energy,0.6344,0.7301
smoothness,0.9814,0.9824
