Property,Slaty_Backed_Gull,Glaucous_Winged_Gull
uniformity,0.3770,0.4965
entropy,3.1202,2.4558
contrast,0.3920,0.5173
energy,0.6140,0.7047
smoothness,0.9816,0.9821
