region,slaty_mean_ones,glaucous_mean_ones,mean_diff_pct,kl_divergence
wing,2.484693178878505,2.464029393163266,0.8316433550385407,0.01434138674814912
wingtip,2.5151694308181822,2.4363748701030925,3.1327734724200242,0.02551201981758242
head,2.4481040886021503,2.3947619430851064,2.1789165650837155,0.005245057535120705
