image_name,species,mean_intensity,std_intensity,median_intensity,min_intensity,max_intensity,skewness,kurtosis,pixel_count,intensity_0_25,pct_0_25,intensity_25_50,pct_25_50,intensity_50_75,pct_50_75,intensity_75_100,pct_75_100,intensity_100_125,pct_100_125,intensity_125_150,pct_125_150,intensity_150_175,pct_150_175,intensity_175_200,pct_175_200,intensity_200_225,pct_200_225,intensity_225_255,pct_225_255
001.png,Slaty_Backed_Gull,98.41016355140187,92.6575728579007,47.0,0,250,0.46253537553877366,-1.5935493728210457,8560,2857,33.376168224299064,1687,19.707943925233646,562,6.565420560747663,117,1.3668224299065421,46,0.5373831775700935,114,1.3317757009345794,142,1.6588785046728973,528,6.16822429906542,1314,15.350467289719628,1193,13.936915887850468
002.png,Slaty_Backed_Gull,189.6483076923077,30.7831106658229,190.0,0,254,-0.407014830284493,0.35675618235197426,9750,5,0.05128205128205128,9,0.0923076923076923,5,0.05128205128205128,13,0.13333333333333333,21,0.21538461538461537,1063,10.902564102564103,1908,19.56923076923077,2818,28.902564102564103,2417,24.78974358974359,1491,15.292307692307691
003.png,Slaty_Backed_Gull,202.95453925814178,29.972736362187295,206.0,134,254,-0.4008490689334551,-0.7211611959506508,440138,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26928,6.118081147276536,57301,13.018871353984432,107539,24.433018735033105,122709,27.879665014154654,125661,28.550363749551277
004.png,Slaty_Backed_Gull,129.5195570127086,87.41995399426662,136.0,4,254,-0.043426739047104874,-1.6167340185132753,1392365,210698,15.1323826726469,238103,17.100616576831506,80224,5.7617075982231665,62362,4.478854323399396,73874,5.3056490216286685,61774,4.436624017409228,72992,5.242303562643416,154142,11.07051671077627,141282,10.146908317862055,296914,21.324437198579396
006.png,Slaty_Backed_Gull,147.41245047861747,71.21289872938549,183.0,0,247,-0.6418153187055677,-1.0786957534883606,466970,36507,7.817846970897488,27210,5.8269267833051375,42360,9.07124654688738,46258,9.905989678137782,12139,2.599524594727713,13393,2.868064329614322,31724,6.793584170289312,115301,24.69130779279183,111664,23.91245690301304,30414,6.513052230335996
008.png,Slaty_Backed_Gull,191.23390156355043,65.48271361051796,220.0,6,254,-1.2304517921362863,0.4113203349777055,3560998,99724,2.8004508848362173,118254,3.3208106266838677,107569,3.020754294161356,140236,3.938109485037621,119179,3.3467864907534346,236081,6.62963023287292,242182,6.8009586076712205,294636,8.273972633514537,546879,15.357464396217017,1656258,46.511062348251805
011.png,Slaty_Backed_Gull,106.93371703694913,74.25077221977443,82.0,8,242,0.47950882028808817,-1.2923906035087527,589865,71140,12.060386698651387,90633,15.36504115348427,94723,16.058420146982787,105294,17.85052512015461,24145,4.093309486068846,16435,2.78623074771346,19891,3.37212752070389,37064,6.283471641816347,86834,14.720995482017072,43706,7.4094920024073305
012.png,Slaty_Backed_Gull,131.37633379958356,77.86580252780917,147.0,4,254,-0.15519313771380572,-1.4444525828377894,787131,95026,12.072450456150246,78353,9.954251579470254,87564,11.124450694992321,52958,6.727977935057824,30118,3.8263008317548164,56052,7.121051006757452,93027,11.818490187783228,68552,8.709096706901393,127750,16.229827055471073,97731,12.416103545661397
016.png,Slaty_Backed_Gull,124.15686438610328,90.42307566106724,163.0,0,254,-0.17764799210470367,-1.7169933561039656,704972,173016,24.542251323456817,92387,13.105059491724495,28099,3.985832061415205,9164,1.2999097836509819,7250,1.0284096389643844,17355,2.461799901272675,53075,7.528667805246165,109962,15.598066306179536,116645,16.546047218896636,98019,13.903956469193101
020.png,Slaty_Backed_Gull,113.69012996211674,84.94353978842453,82.0,0,254,0.28405008970658846,-1.5154405514847629,93181,20762,22.28136637297303,4908,5.2671681995256545,16179,17.362981723741967,11566,12.412401669868322,2368,2.5412906064541056,1363,1.4627445509277641,2156,2.3137764136465586,8162,8.759296423090545,13590,14.58451830308754,12127,13.014455736684516
