,mean,std,count,min,max,t_statistic,p_value,interpretation
Glaucous_Winged_Gull,155.35832960866858,32.51701564637381,93.0,66.88565578187304,215.8559342230696,,,
Slaty_Backed_Gull,81.57578348051396,20.655938544787475,104.0,42.89320443981542,151.02030044660984,,,
Statistical Test,,,,,,-18.75773702697576,1.8360704446864098e-41,Significantly different
