region,species,mean_intensity,std_intensity,entropy,energy,uniformity,contrast
wing,Slaty_Backed_Gull,76.44671303497242,21.518596584222802,3.7336462346074275,0.16442663476347788,0.16442663476347788,364.9607783973374
wing,Glaucous_Winged_Gull,153.32233674185738,19.062934032002516,3.333916769040201,0.23977673736214447,0.23977673736214447,398.62085006580185
wingtip,Slaty_Backed_Gull,83.31603501167724,57.65519475626429,3.781664704174708,0.1353349504283833,0.1353349504283833,334.16105047610006
wingtip,Glaucous_Winged_Gull,153.18036880001915,24.94601889043048,3.492598291048594,0.20370277984332535,0.20370277984332535,373.05265401172005
head,Slaty_Backed_Gull,166.71640343556095,33.03442239916358,4.0309692190315625,0.10607896990062642,0.10607896990062642,302.19848754307475
head,Glaucous_Winged_Gull,185.35863665872606,35.82193337478978,3.908965414655149,0.12541384242080172,0.12541384242080172,300.61939037685454
