Property,Slaty_Backed_Gull,Glaucous_Winged_Gull
uniformity,0.0999,0.0979
entropy,3.7129,3.7807
contrast,0.0606,0.0735
energy,0.3160,0.3129
smoothness,0.9076,0.9095
