Property,Slaty_Backed_Gull,Glaucous_Winged_Gull
uniformity,0.1026,0.1285
entropy,3.7609,3.6390
contrast,0.0844,0.1257
energy,0.3203,0.3585
smoothness,0.9127,0.9164
