Property,Slaty_Backed_Gull,Glaucous_Winged_Gull
uniformity,0.1045,0.1203
entropy,3.7384,3.6491
contrast,0.0870,0.1084
energy,0.3233,0.3469
smoothness,0.9138,0.9144
