region,slaty_mean_transitions,glaucous_mean_transitions,mean_diff_pct,kl_divergence
wing,2.8036358186549393,3.095391138812741,9.42547507161588,0.025338894881006907
wingtip,2.694579436143457,2.9298030064333815,8.028647993513934,0.03523160361930918
head,2.523243491206829,2.6545675490200678,4.947097988209683,0.007265905393189158
