region,ones_kl_divergence,ones_mean_slaty,ones_mean_glaucous,ones_mean_diff_pct,trans_kl_divergence,trans_mean_slaty,trans_mean_glaucous,trans_mean_diff_pct
wing,0.025541103666949297,12.179024786915887,11.335161488265307,6.9288248723917185,0.025338894881006907,2.8036358186549393,3.095391138812741,9.42547507161588
wingtip,0.07676073664771259,12.349384539636361,11.190588624123711,9.38343050047069,0.03523160361930918,2.694579436143457,2.9298030064333815,8.028647993513934
head,0.024056132184970058,11.777548838817204,10.552857292340427,10.398526579999052,0.007265905393189158,2.523243491206829,2.6545675490200678,4.947097988209683
