image_name,species,mean_wing_intensity,mean_wingtip_intensity,wing_pixel_count,wingtip_pixel_count,darker_pixel_count,pct_darker_pixels,intensity_0_10,pct_0_10,intensity_10_20,pct_10_20,intensity_20_30,pct_20_30,intensity_30_40,pct_30_40,intensity_40_50,pct_40_50,intensity_50_60,pct_50_60,intensity_60_70,pct_60_70,intensity_70_80,pct_70_80,intensity_80_90,pct_80_90,intensity_90_100,pct_90_100,intensity_100_110,pct_100_110,intensity_110_120,pct_110_120,intensity_120_130,pct_120_130,intensity_130_140,pct_130_140,intensity_140_150,pct_140_150,intensity_150_160,pct_150_160,intensity_160_170,pct_160_170,intensity_170_180,pct_170_180,intensity_180_190,pct_180_190,intensity_190_200,pct_190_200,intensity_200_210,pct_200_210,intensity_210_220,pct_210_220,intensity_220_230,pct_220_230,intensity_230_240,pct_230_240,intensity_240_255,pct_240_255,diff_gt_10,pct_diff_gt_10,diff_gt_20,pct_diff_gt_20,diff_gt_30,pct_diff_gt_30,diff_gt_40,pct_diff_gt_40,diff_gt_50,pct_diff_gt_50,diff_gt_60,pct_diff_gt_60,diff_gt_70,pct_diff_gt_70,diff_gt_80,pct_diff_gt_80,diff_gt_90,pct_diff_gt_90,diff_gt_100,pct_diff_gt_100,dark_lt_30,pct_dark_lt_30,dark_lt_40,pct_dark_lt_40,dark_lt_50,pct_dark_lt_50,dark_lt_60,pct_dark_lt_60
001.png,Slaty_Backed_Gull,63.93853953571111,44.3829454671761,11243,5758,4922,85.48106981590831,1070,18.582841264327893,1505,26.137547759638764,410,7.120527961097603,514,8.9267106634248,907,15.75199722125738,447,7.76311219173324,156,2.7092740534907955,69,1.198332754428621,53,0.9204584925321292,34,0.5904828065300451,23,0.399444251476207,14,0.24313997915943034,19,0.32997568600208405,12,0.20840569642236886,10,0.1736714136853074,13,0.22577283779089963,20,0.3473428273706148,20,0.3473428273706148,38,0.6599513720041681,100,1.736714136853074,177,3.073984022229941,91,1.5804098645362974,46,0.798888502952414,8,0.13893713094824592,2,0.03473428273706148,4677,81.22612018061827,3819,66.32511288641889,3160,54.880166724557135,2774,48.17645015630427,1931,33.53594998263286,46,0.798888502952414,0,0.0,0,0.0,0,0.0,0,0.0,2985,51.840916985064254,3499,60.767627648489054,4406,76.51962486974644,4853,84.28273706147968
002.png,Slaty_Backed_Gull,160.31674208144796,151.02030044660984,3757,2463,1733,70.3613479496549,0,0.0,0,0.0,0,0.0,12,0.48721071863580995,35,1.4210312626877792,39,1.5834348355663823,29,1.1774259033698742,50,2.0300446609825418,65,2.639058059277304,55,2.2330491270807955,37,1.5022330491270808,32,1.2992285830288266,32,1.2992285830288266,160,6.496142915144134,480,19.488428745432397,662,26.87779131140885,315,12.78928136419001,100,4.0600893219650835,47,1.9082419813235891,27,1.0962241169305724,29,1.1774259033698742,58,2.3548518067397484,121,4.912708079577751,78,3.1668696711327646,0,0.0,1114,45.22939504669103,574,23.304912708079577,399,16.199756394640684,356,14.453917986195696,324,13.15468940316687,292,11.855460820138044,235,9.541209906617945,166,6.7397482744620385,118,4.790905399918798,90,3.6540803897685747,0,0.0,12,0.48721071863580995,47,1.9082419813235891,86,3.4916768168899717
003.png,Slaty_Backed_Gull,49.83176045350783,42.89320443981542,617233,296679,231014,77.866650487564,46330,15.616204719579073,76691,25.849824220790822,80446,27.115501939806997,20682,6.971170861436097,6865,2.313948745951011,4365,1.4712871487365131,3456,1.1648953919893217,3359,1.1322001220173994,3241,1.092426494628875,3186,1.0738879394901562,3439,1.1591652931282632,3810,1.2842162741548946,3923,1.32230457834899,4203,1.4166826772370138,5251,1.769926418789331,9284,3.129308107415759,12253,4.130053020267697,5196,1.7513878636506122,699,0.23560818258117358,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,224149,75.55270174161299,203467,68.58153088017689,123021,41.466028940369895,46330,15.616204719579073,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,203467,68.58153088017689,224149,75.55270174161299,231014,77.866650487564,235379,79.33793763630051
004.png,Slaty_Backed_Gull,55.833502326522755,77.75849126688115,1002999,850727,474945,55.8281328792903,48527,5.704180071867944,126733,14.897023369424033,77948,9.16251629488661,100727,11.840108518949087,87727,10.312003733277537,49704,5.842532328232206,26827,3.1534205450162034,20371,2.3945401991473174,21997,2.585670843878236,26179,3.0772503987765756,38921,4.575028181778643,26380,3.100877249693497,18342,2.156038306060581,12785,1.5028322834469814,10129,1.1906287210820863,7837,0.9212120927159947,10357,1.2174293280923258,23866,2.8053652934490145,24945,2.9321979906597533,17989,2.1145443838035,7531,0.8852428569917258,4408,0.5181450688646299,7162,0.8418681903830488,37979,4.464299358078443,15356,1.8050443914440237,410961,48.30703621725888,309914,36.42931281127788,217942,25.6183240922176,141670,16.652815768160643,231,0.027153246576163685,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,253208,29.763719736178583,353935,41.603828255127674,441662,51.915831988405216,491366,57.75836431663741
006.png,Slaty_Backed_Gull,77.14272638539907,76.34342683725329,510214,192434,113655,59.06180820437137,12018,6.245258114470416,17363,9.022833802758349,14002,7.2762609518068535,11388,5.917873140921043,8927,4.638993109325795,6997,3.6360518411507323,18592,9.661494330523713,29404,15.280044067056759,17789,9.244208403920306,15439,8.023010486712327,7240,3.7623289023769186,3273,1.7008428863922176,1670,0.8678300092499246,1704,0.8854984046478273,1411,0.7332384090129602,1300,0.6755562946256898,2511,1.3048629660039286,4291,2.22985543095295,5830,3.029610152052132,4472,2.3239136535123732,3920,2.0370620576405414,2425,1.2601723188209983,444,0.23072845754908175,24,0.01247180851616658,0,0.0,83593,43.43982872049638,69843,36.29452175810927,61735,32.08112911439767,52594,27.330929045802716,40509,21.05085379922467,26150,13.58907469573984,7322,3.8049409148071547,0,0.0,0,0.0,0,0.0,43383,22.544352869035617,54771,28.46222600995666,63698,33.101219119282455,70695,36.737270960433186
008.png,Slaty_Backed_Gull,110.33479169033656,94.34210377164057,572105,776320,514461,66.26919311624071,0,0.0,52466,6.758295548227535,71300,9.184356966199505,43081,5.549386850783182,46661,6.010536892003297,37635,4.847872011541632,40263,5.1863922093981865,54030,6.959758862324815,56049,7.219832028029678,56676,7.300597691673537,51611,6.648160552349546,46212,5.9526999175597695,38729,4.988793281121187,26518,3.41585943940643,15442,1.9891281945589447,9242,1.1904884583676834,7407,0.9541168590272052,12573,1.6195640972794725,24502,3.156172712283594,26311,3.3891951772464965,31052,3.9998969497114594,21315,2.745646125309151,6310,0.8128091508656223,856,0.11026380873866448,79,0.010176215993404781,463649,59.72395403957131,406861,52.40892930750206,350909,45.201592126957955,296528,38.19661995053586,254472,32.77926628194559,217440,28.009068425391593,170840,22.00638911788953,128835,16.595604905193735,62479,8.048098722176423,0,0.0,123766,15.942652514427042,166847,21.49203936521022,213508,27.50257625721352,251143,32.35044826875515
011.png,Slaty_Backed_Gull,74.3200495806905,85.79737756615732,385634,481995,251327,52.143072023568706,23,0.00477183373271507,36891,7.653813836243114,61984,12.859884438635255,41458,8.60133403873484,21089,4.375356590836005,27091,5.6205977240427805,42292,8.774364879303727,46804,9.71047417504331,52643,10.921897530057366,30718,6.373095156588761,13433,2.786958370937458,7212,1.49628108175396,5054,1.0485585950061722,4155,0.8620421373665702,4238,0.8792622330107158,3866,0.8020830091598461,4214,0.8742829282461437,5024,1.0423344640504568,4888,1.014118403717881,10324,2.141930932893495,16128,3.3460928017925493,16205,3.3620680712455524,18525,3.843400865154203,7593,1.5753275448915445,143,0.029668357555576307,206909,42.927623730536624,174164,36.13398479237336,149957,31.11173352420668,124036,25.733876907436798,63998,13.277731096795609,9038,1.8751231859251654,0,0.0,0,0.0,0,0.0,0,0.0,98898,20.518470108611087,140356,29.119804147345928,161445,33.49516073818194,188536,39.11575846222471
012.png,Slaty_Backed_Gull,59.4233220894942,81.89885370376518,236574,421706,207012,49.089175871341645,12690,3.0092054654190363,60882,14.437072273100215,34893,8.274247935765676,24131,5.7222330249036055,40542,9.613806775336371,33874,8.03261039681674,34413,8.160424561187178,30551,7.244620659891014,22788,5.403764708114184,14753,3.498408844076205,10717,2.5413439694953355,6429,1.5245218232607551,4109,0.9743755127980157,3311,0.785144152561263,2822,0.6691865897094185,3145,0.7457802355195325,3244,0.7692563065263477,3991,0.946393933214135,5598,1.3274651060217306,11401,2.703542278269695,20153,4.778921808084305,23805,5.644927983002376,11717,2.778475999867206,1745,0.41379539299891394,2,0.00047426406074374094,173138,41.05656547452491,132596,31.442758699188534,108465,25.72052567428493,73572,17.446277738519253,12690,3.0092054654190363,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,108465,25.72052567428493,132596,31.442758699188534,173138,41.05656547452491,207012,49.089175871341645
016.png,Slaty_Backed_Gull,54.95374541294937,49.667598820742356,479066,362601,274799,75.78550527990822,94770,26.136166199210702,48717,13.435429025292263,53232,14.680599336460737,40335,11.123797231667867,27948,7.707645593917281,15534,4.28404775497034,9699,2.674840940868889,4804,1.3248722424924366,3644,1.0049613762786092,3456,0.9531137531336097,2685,0.7404833411932124,2917,0.8044655144359779,2559,0.7057344022768829,2587,0.7134563887027339,3043,0.8392144533523074,3117,0.8596225603349136,3989,1.1001072804542735,5503,1.517646117909217,7804,2.1522279309764727,11885,3.2777074525442567,13169,3.631815687215424,1204,0.3320454163115932,0,0.0,0,0.0,0,0.0,250677,69.13301397403758,218744,60.326364240584006,164888,45.47367492091858,126811,34.9726007374497,49405,13.625169263184603,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,196719,54.25219456096371,237054,65.37599179263157,265002,73.08363738654884,280536,77.36768514151919
020.png,Slaty_Backed_Gull,98.7212948629973,62.607542057129955,125326,61999,53037,85.54492814400231,2663,4.295230568234971,15150,24.435877998032225,4397,7.092049871772126,1477,2.3822964886530427,1962,3.164567170438233,4702,7.583993290214358,8363,13.488927240761948,6378,10.287262697785449,4902,7.9065791383732,3223,5.198470943079727,1254,2.0226132679559345,750,1.2096969305956546,555,0.8951757286407844,449,0.7242052291165987,390,0.6290424039097405,363,0.5854933144082969,453,0.7306569460797755,531,0.8564654268617236,1013,1.633897320924531,1703,2.746818497072533,1110,1.7903514572815689,201,0.3241987773996355,8,0.012903433926353652,2,0.003225858481588413,0,0.0,49474,79.79806125905256,44471,71.72857626735916,38056,61.381635187664315,29393,47.408829174664106,25374,40.92646655591219,23541,37.96996725753641,21976,35.44573299569348,16900,27.25850416942209,816,1.3161502604880724,0,0.0,22210,35.82315843803932,23687,38.20545492669237,25649,41.3700220971306,30351,48.95401538734496
